16-Jun-2022 SHow Spectra 
Wavelength,UHP-T-670-SR,UHP-T-545-LA21,UHP-T-620-SR,UHP-T-405-EP,UHP-T-450-EP,UHP-T-488-SR,UHP-T-520-EP,UHP-T-650-EP
643.5,0.0032717364439053486,0.0008335601732095607,0.003692665570021361,6.901276719678924e-8,0,0.000001376399808770532,0.000023682571894243006,0.5224750497184079
644,0.0036151303434084165,0.0008329133722948689,0.0032734822390733244,3.29459259268676e-8,0,0.000001286397398327543,0.000021664894750063636,0.539634199516889
644.5,0.004071923656496118,0.0008232281534660057,0.0029005387751725705,4.019853030606419e-8,0,0.0000011603063636970417,0.00001804676013487174,0.5556347987006185
645,0.004553872520391943,0.0008093508942332023,0.0025173637814855433,5.991173775460359e-8,0,0.0000010230714362745417,0.000015272179082530955,0.5717064414055918
645.5,0.0051314034498680374,0.000777508113078853,0.002179912974188332,8.52089008264012e-8,0,9.664138086515147e-7,0.00001353708603748157,0.5884952033198267
646,0.005713478393731871,0.0007462527859188851,0.0019244434404818418,1.2993809606936097e-7,0,9.073187632735135e-7,0.000011903549891699108,0.6062666655357143
646.5,0.006479320363548736,0.000729435835094357,0.0016954542513699837,1.4423195075314683e-7,0,8.221746379867375e-7,0.000011585865033693476,0.6249355300185122
647,0.00729471784686629,0.00071241295942908,0.0014882399498983246,1.5941200521804104e-7,0,7.304935910122552e-7,0.00001093536238826968,0.6445368945451231
647.5,0.008469307803317993,0.000683933984626814,0.0013017124011162214,1.6278841265738955e-7,0,6.798446557584693e-7,0.000010633109318508675,0.6645005252963873
648,0.009690786528751471,0.0006577755457684659,0.001133245039300322,1.667984776563448e-7,0,6.273002580033952e-7,0.000010407596121004947,0.6862819527919277
648.5,0.011260778891579143,0.000615726791390993,0.0009862092410406781,1.7804790355228179e-7,0,6.486746311775082e-7,0.000011025144099760777,0.7073797990448052
649,0.012889353137951951,0.0005735011829697032,0.0008574116053750535,2.1900386913253678e-7,0,6.739135676541766e-7,0.000011744457529470661,0.7293243706298771
649.5,0.015133819009357943,0.00054258170760722,0.0007433922570245369,2.7759957633406947e-7,0,7.780244390031336e-7,0.00001404994177926591,0.748970958874609
650,0.017475591237780197,0.0005126495014518998,0.0006410912545668533,3.2124417440332504e-7,0,8.920696339101086e-7,0.000017050548802196566,0.7684081480937236
650.5,0.02064371539880218,0.000498072149505681,0.000551454644302335,3.3843050447637776e-7,0,9.744111557960166e-7,0.000019634265891821875,0.7863844484643019
651,0.023995104214973386,0.00048333603302992635,0.00047569132183316606,3.4268098485654943e-7,0,0.0000010438866817416897,0.000022253597555759152,0.802278660679165
651.5,0.02898253111467284,0.0004663187548523464,0.0004084453499323032,3.5719577484669235e-7,0,0.0000011292164435701787,0.000023957892540177337,0.8130178873747945
652,0.034195102370389974,0.0004508894602358205,0.0003765722126643954,4.067328998537722e-7,0,0.0000012220918485361856,0.00002419271595649936,0.8224996677564452
652.5,0.04109614887069477,0.000440295897176192,0.0003486094269887814,5.01935760993557e-7,0,0.00000127861316379844,0.00002531610625934507,0.8253219999828803
653,0.04830874399460268,0.0004322836113157625,0.0002928073341677628,5.205881180123448e-7,0,0.000001324218340677412,0.000026578092427418894,0.8260308063919204
653.5,0.05911127977682298,0.0004315656483758375,0.00024311858657278737,4.912371471074959e-7,0,0.000001363921296343472,0.00002844461564538422,0.8191435217630127
654,0.07041083500699265,0.0004289286019609998,0.00022123079089264269,5.287154605238355e-7,0,0.0000014021579641202544,0.00002920119796989766,0.8102047985126324
654.5,0.0852661477491179,0.0004061356726276431,0.00020167303253682098,5.322202539878578e-7,0,0.0000013732559812488432,0.000028265228833290215,0.7937058485764108
655,0.10067354483848573,0.00038534763976148855,0.00018885207414381363,5.309061423466423e-7,0,0.0000013447528287763106,0.000026760344844614298,0.7753473833318559
655.5,0.12080455653259306,0.00036305836126491515,0.00017606750174787363,5.278175234203692e-7,0,0.0000013348622226560934,0.000025382614573831613,0.7477849827173189
656,0.1421559416952988,0.00033944130284563345,0.0001583046871035277,4.898892930188089e-7,0,0.000001315683088672361,0.000024200157125938517,0.7187170684013764
656.5,0.16775220196740612,0.00032958444806486126,0.00014265734668309505,4.5952633039350844e-7,0,0.0000013066701642192758,0.00002260380844259721,0.6829683010928563
657,0.19469001446882417,0.00032103553083061395,0.00012881522025643576,4.4925389884236133e-7,0,0.0000013059675152069527,0.000022159856600844282,0.6467778807044694
657.5,0.22426698522645164,0.0002958184767403399,0.00011569278349042933,3.6843470396404815e-7,0,0.0000012808524427577408,0.000022389081360859685,0.6079041115485588
658,0.2555714919905179,0.0002727145966958192,0.00010279325122666807,3.3222649619947065e-7,0,0.0000012529262451996204,0.000020821613075454643,0.5682053095673115
658.5,0.29088052795710045,0.00024109758193236418,0.00009175358118720618,3.6653016698508725e-7,0,0.000001224089228408402,0.00001893315907694296,0.5241270093647474
659,0.3266258025520845,0.0002128180001256426,0.00008010272129334372,3.6290512993583723e-7,0,0.000001169827833132531,0.00001835669901412747,0.4801925114108998
659.5,0.368261038567617,0.00019151897154974523,0.00006939961474489377,3.1622916214750713e-7,0,0.0000010784495761673199,0.00001761101988404748,0.4342638912365901
660,0.4079846033641682,0.00016955290781095898,0.000058182278120119945,2.6955601228645513e-7,1.7967380354927706e-8,9.879806380301598e-7,0.00001677605707027176,0.3889320670850594
