Wavelength,UHP-T-405-EP,UHP-T-435-SR,UHP-T-488-SR,UHP-T-545-LA21,UHP-T-596-LA21,UHP-T-630-SR,UHP-T-670-SR,UHP-T-730-SR
336,0.001154561,0.00248659,0.00505988,0,-0.000160855,0,0,0
336.5,0.001101808,0.002544061,0.00511976,0,-0.000137171,0,0,0
337,0.001024178,0.002616858,0.00511976,0,-9.21E-05,0,0,0
337.5,0.000974723,0.002693487,0.00511976,0,-4.24E-05,0,0,0
338,0.000993306,0.002796935,0.00508982,0,1.45E-05,0,0,0
338.5,0.001036767,0.002904215,0.00502994,0,6.45E-05,0,0,0
339,0.001006194,0.002992337,0.005,0,8.95E-05,0,0,0
339.5,0.000947747,0.003065134,0.00494012,0,0.000104934,0,0,0
340,0.000900689,0.003183908,0.00491018,0,0.000179934,0,0,0
340.5,0.000862923,0.003222222,0.00491018,0,0.000210197,0,0,0
341,0.000839544,0.003237548,0.00488024,0,0.000242763,0,0,0
341.5,0.000875512,0.003252874,0.00488024,0,0.000291447,0,0,0
342,0.00094445,0.003260536,0.00491018,0,0.000328947,0,0,0
342.5,0.001004396,0.003268199,0.00494012,0,0.000342105,0,0,0
343,0.001091917,0.003268199,0.00497006,0,0.000335526,0,0,0
343.5,0.001165651,0.003283525,0.00494012,0,0.000328618,0,0,0
344,0.001172844,0.003314176,0.004850299,0,0.000323026,0,0,0
344.5,0.001144969,0.003344828,0.004760479,0,0.0003,0,0,0
345,0.001126386,0.003467433,0.004700599,0,0.000345395,0,0,0
345.5,0.001161454,0.00359387,0.004700599,0,0.000381579,0,0,0
346,0.001248976,0.003659004,0.004730539,0,0.000368421,0,0,0
346.5,0.001252273,0.003651341,0.004760479,0,0.000297368,0,0,0
347,0.001337996,0.003659004,0.004760479,0,0.000248355,0,0,0
347.5,0.001370966,0.003681992,0.004730539,0,0.000230921,0,0,0
348,0.001379358,0.003735632,0.004760479,0,0.000254605,0,0,0
348.5,0.001396143,0.003812261,0.004760479,0,0.000300658,0,0,0
349,0.001391048,0.003908046,0.004790419,0,0.000335526,0,0,0
349.5,0.001386252,0.00394636,0.004850299,0,0.000314474,0,0,0
350,0.001413528,0.003908046,0.00488024,0,0.000230263,0,0,0
350.5,0.001490858,0.003819923,0.00488024,0,0.000123355,0,0,0
351,0.001587371,0.003758621,0.00491018,0,4.05E-05,0,0,0
351.5,0.001660805,0.003666667,0.00488024,0,-5.07E-05,0,0,0
352,0.001670097,0.003659004,0.00491018,0,-7.40E-05,2.83E-06,0,0
352.5,0.001712059,0.003632184,0.00488024,0,-0.000120724,5.73E-05,0,0
353,0.001790588,0.003670498,0.00488024,0,-0.000121382,0.000074044,0,0
353.5,0.001764512,0.003739464,0.00491018,0,-0.000105592,1.41E-05,0,0
354,0.001751923,0.003777778,0.00491018,0,-0.000116447,0,0,0
354.5,0.001700969,0.003762452,0.00491018,0,-0.000157566,0,0,0
355,0.001649115,0.003758621,0.00491018,0,-0.000157895,0,0,0
355.5,0.001620042,0.003777778,0.00491018,0,-0.000118421,1.61E-05,0,0
356,0.001647017,0.003808429,0.00494012,0,-5.89E-05,0,0,0
356.5,0.00169917,0.003827586,0.005,0,-1.21E-05,0,0,0
357,0.001751923,0.003793103,0.00505988,0,-2.17E-05,0,0,0
357.5,0.00176661,0.003735632,0.00511976,0,-5.59E-05,0,0,0
358,0.001816665,0.003697318,0.00511976,0,-7.04E-05,0,0,0
358.5,0.00191048,0.003678161,0.005149701,0,-7.57E-05,0,0,0
359,0.001868518,0.003701149,0.005149701,0,-3.82E-05,0,0,0
359.5,0.001922769,0.003712644,0.00511976,0,-9.18E-06,0,0,0
360,0.001987211,0.003731801,0.005149701,0,0.00002,0,0,0
360.5,0.002106803,0.003704981,0.005149701,0,6.68E-06,3.22E-05,0,0
361,0.002244739,0.003643678,0.005149701,0,-2.85E-05,7.92E-05,0,0
361.5,0.002387471,0.003590038,0.005149701,0,-4.51E-05,8.64E-05,0,0
362,0.002411479,0.003551724,0.005179641,0,-0.000031875,0.000124074,0,0
362.5,0.002437436,0.003555556,0.005209581,0,3.08E-05,0.000210897,0,0
363,0.002470106,0.00354023,0.005239521,0,6.81E-05,0.000323507,0,0
363.5,0.002435697,0.003570881,0.005269461,0,0.000132895,0.00049235,0,0
