wl,F1,F2,F3,F4,F5,F6,F7,F8,CLEAR,NIR
772,0.129876371,0.083892413,0.048855082,0.057265565,0.018499056,0.042540493,0.035248064,0.018831276,0.996377944,0
774,0.134358336,0.086267424,0.049745817,0.057594732,0.019064973,0.040330916,0.033724352,0.019048116,0.995892946,0
776,0.137638114,0.087397197,0.049281383,0.056587707,0.019518428,0.037796392,0.032084725,0.019126148,0.996148103,0
778,0.138255077,0.086674882,0.048747167,0.054475709,0.019821369,0.035111242,0.031123081,0.019867577,0.996291384,0
780,0.138317392,0.08551693,0.049230152,0.053214316,0.020347861,0.032265521,0.030586487,0.020620144,0.993595859,0
782,0.139231411,0.085847248,0.050417162,0.051963489,0.020562022,0.029261414,0.030315475,0.021256683,0.991304586,0
784,0.141822815,0.08588862,0.051985625,0.050927586,0.020899187,0.025370517,0.030058058,0.022378024,0.989367313,0
786,0.14565225,0.086504099,0.053832224,0.050150861,0.021186343,0.022456457,0.029712352,0.023111642,0.98664188,0
788,0.146360823,0.087960751,0.055893628,0.04992371,0.021650934,0.019368637,0.029897966,0.024132335,0.984741907,0
790,0.146882331,0.088517684,0.057289146,0.050035857,0.022345258,0.01668571,0.029295498,0.024692145,0.982696692,0
792,0.142951223,0.088402002,0.058189008,0.049748071,0.023220932,0.013971158,0.028424969,0.025195449,0.980138809,0
794,0.132601811,0.084545944,0.058571727,0.04938648,0.023768867,0.01256698,0.028611925,0.025979729,0.977860455,0
796,0.116941904,0.078165057,0.058424436,0.049294141,0.02460657,0.012498748,0.028619993,0.026495883,0.976499935,0
798,0.102294419,0.069314122,0.058615112,0.049744875,0.025276594,0.012577654,0.029432662,0.027220085,0.974167022,0
800,0.096213201,0.062589265,0.060041081,0.050954839,0.025715431,0.012500442,0.030335308,0.027733067,0.972471368,0
802,0.093424764,0.06093041,0.060041307,0.052532002,0.025985724,0.013649092,0.031339948,0.026772475,0.969715897,0
804,0.094142516,0.06089948,0.060910467,0.054307424,0.026010144,0.013877237,0.032244676,0.023517425,0.965804827,0
806,0.094409332,0.060967693,0.061220672,0.055939682,0.026610485,0.014722795,0.033424554,0.020362161,0.962554452,0
808,0.095696851,0.063070209,0.06195911,0.057414836,0.027085073,0.015568771,0.034412692,0.019025109,0.958763477,0
810,0.098024857,0.064186403,0.060654192,0.058661019,0.028141539,0.016571453,0.035766492,0.018816862,0.954505727,0
812,0.098159715,0.066130146,0.059395176,0.059303944,0.029130168,0.016944428,0.036455088,0.019100301,0.949468998,0
814,0.099304957,0.067548088,0.057715777,0.059256825,0.029688793,0.017937117,0.03702843,0.01980567,0.944606089,0
816,0.099302904,0.06892465,0.055615696,0.057279372,0.030942974,0.01829119,0.037296225,0.020283046,0.939747584,0
818,0.097484623,0.069878558,0.054018616,0.054447431,0.031103091,0.019578526,0.03734558,0.0207451,0.934085152,0
820,0.097499639,0.072231292,0.053841277,0.050820584,0.0318826,0.020055289,0.037069081,0.020820842,0.928207466,0
822,0.099623033,0.07330881,0.054838589,0.04796427,0.032464437,0.021151512,0.037523205,0.021319408,0.923909917,0
824,0.100768659,0.076026555,0.056607977,0.045786864,0.032533916,0.021749704,0.03737212,0.021504131,0.919320231,0
826,0.101591126,0.078410279,0.05785036,0.044295363,0.03369711,0.023266512,0.037745486,0.022027266,0.91469275,0
828,0.104034923,0.081319127,0.059124255,0.043493372,0.034053811,0.023499561,0.037895263,0.022599005,0.909955392,0
830,0.104427488,0.083756925,0.060236155,0.042796992,0.034431847,0.024642615,0.038284002,0.02307155,0.904677794,0
832,0.106614662,0.087045309,0.061816693,0.042773817,0.035470007,0.025281423,0.03881089,0.023513595,0.900007305,0
834,0.107201894,0.088052736,0.063233437,0.042429475,0.035534087,0.025736274,0.038930095,0.023646499,0.895291916,0
836,0.106379215,0.090480565,0.064006736,0.041822236,0.03560766,0.026150478,0.038813564,0.023675797,0.889278895,0
838,0.106937121,0.091136715,0.064268401,0.04077089,0.035249708,0.026384527,0.037853365,0.02284889,0.88380914,0
840,0.104245238,0.089778378,0.063817659,0.039543373,0.034679001,0.026727628,0.035515777,0.021867083,0.877540535,0
842,0.10271176,0.088113104,0.063041088,0.038500822,0.033575764,0.027181626,0.031238448,0.019788529,0.870728055,0
844,0.099888264,0.085469053,0.062296959,0.037438163,0.032625527,0.027447898,0.025885085,0.017599454,0.864236282,0
846,0.099043806,0.082822118,0.061522226,0.037439739,0.031891576,0.028411146,0.021331433,0.015982147,0.857877893,0
848,0.098887855,0.081707284,0.061786931,0.038055044,0.03140833,0.02860073,0.018317913,0.014912971,0.850981399,0
850,0.099468716,0.081248813,0.061355285,0.038053358,0.031191083,0.029478432,0.016638481,0.014319952,0.845021342,0
852,0.099496105,0.080025651,0.060839931,0.038311961,0.031612754,0.029590335,0.015891391,0.014168192,0.839155277,0.020990659
854,0.09955184,0.079353298,0.059440623,0.038375724,0.031506882,0.029651673,0.015467976,0.013873081,0.832597072,0.041292888
856,0.099879806,0.078732785,0.057873433,0.037906253,0.031475994,0.028876966,0.015364016,0.014006517,0.826520763,0.040588115
858,0.098704009,0.078201907,0.05509263,0.037010722,0.031930504,0.02798394,0.015178215,0.014129282,0.820140879,0.099723792
860,0.096705289,0.076658057,0.049887242,0.036089318,0.032172638,0.02733811,0.015129776,0.013928138,0.813583625,0.137037635
862,0.090751478,0.072875861,0.044191089,0.034376404,0.032161375,0.027220672,0.015080945,0.014082939,0.806721024,0.153755563
864,0.085062643,0.068352888,0.038204724,0.032736279,0.031916968,0.027443523,0.015012705,0.013696395,0.79953802,0.207331674
866,0.079189665,0.062040764,0.035006793,0.032596956,0.031748586,0.028124774,0.014862155,0.013032879,0.7918514,0.258669384
868,0.07633742,0.05737428,0.033552379,0.03207507,0.030544479,0.028538501,0.014573866,0.012284295,0.783887896,0.253651843
870,0.074986921,0.054861923,0.032680642,0.032197453,0.029673456,0.029266219,0.014565353,0.011717048,0.774823089,0.372942906
872,0.074084163,0.053289851,0.032214868,0.03222761,0.028544823,0.030048842,0.014198681,0.011477258,0.766455303,0.330519149
874,0.073528789,0.052134209,0.032100074,0.032309197,0.027589781,0.030687917,0.014250325,0.011350992,0.757933374,0.392086715
876,0.072487122,0.050900523,0.031706598,0.032720197,0.026903088,0.030726455,0.014355376,0.011170729,0.749324048,0.467607513
878,0.071177418,0.049538358,0.031578046,0.032161656,0.02636185,0.030433208,0.014582778,0.01099575,0.741415468,0.523657321
